val_loss,val_acc,train_loss,train_acc
0.68357235,0.58499998,0.65736562,0.59619999
0.60477781,0.65200001,0.60446471,0.67400002
0.58032131,0.69300002,0.56688935,0.70859998
0.57052815,0.68900001,0.56157857,0.71399999
0.56485814,0.71100003,0.55485111,0.71499997
0.56246936,0.70899999,0.55128288,0.72340000
0.56893200,0.71600002,0.55202991,0.72020000
0.57517201,0.70200002,0.55186039,0.72219998
0.57069218,0.69400001,0.54608244,0.72759998
0.56018996,0.70200002,0.54776067,0.72460002
0.56951535,0.70200002,0.54971451,0.72060001
0.56754398,0.71200001,0.54787922,0.72240001
0.56465924,0.70099998,0.54818779,0.72899997
0.56431103,0.70099998,0.54392409,0.72719997
0.56631678,0.70499998,0.54863328,0.71759999
0.56856382,0.70400000,0.54457760,0.72680002
0.56766415,0.69099998,0.54394436,0.72780001
0.56606281,0.70700002,0.54720002,0.73079997
